CSV_VERSION=1.4
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  ,PRODID             ,PARTNAME                   ,BOARDNAME                                    ,SHORTNAME  ,ZYNQFLASHTYP             ,FPGAFLASHTYP                       ,PCB_REV    ,DDR_SIZE ,FLASH_SIZE ,EMMC_SIZE  ,OTHERS           ,NOTES                                          ,DESIGN
11  ,TE0803-01-02EG-1EA ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e:part0:1.0            ,2eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB 
12  ,TE0803-01-02EG-1EA ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e_tebf0808:part0:2.0   ,2eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK 
13  ,TE0803-01-02CG-1EA ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e:part0:1.0            ,2cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB  
14  ,TE0803-01-02CG-1EA ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e_tebf0808:part0:2.0   ,2cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK  
15  ,TE0803-01-03EG-1EA ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e:part0:1.0            ,3eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB  
16  ,TE0803-01-03EG-1EA ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e_tebf0808:part0:2.0   ,3eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK  
17  ,TE0803-01-03CG-1EA ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e:part0:1.0            ,3cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB  
18  ,TE0803-01-03CG-1EA ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e_tebf0808:part0:2.0   ,3cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK  
19  ,TE0803-02-03EG-1EB ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e:part0:3.0            ,3eg_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02|REV01,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB  
20  ,TE0803-02-03EG-1EB ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e_tebf0808:part0:4.0   ,3eg_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02|REV01,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK  
21  ,TE0803-01-04CG-1EA ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0803_4cg_1e:part0:1.0            ,4cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT   
22  ,TE0803-01-04CG-1EA ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0803_4cg_1e_tebf0808:part0:2.0   ,4cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT   
23  ,TE0803-02-04EV-1EA ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e:part0:1.0            ,4ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02|REV01,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT   
24  ,TE0803-02-04EV-1EA ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e_tebf0808:part0:2.0   ,4ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02|REV01,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT   
25  ,TE0803-01-04EV-1E3 ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e:part0:1.0            ,4ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_TB|MGT   
26  ,TE0803-01-04EV-1E3 ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e_tebf0808:part0:2.0   ,4ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_SK|MGT   
27  ,TE0803-01-04EG-1EA ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e:part0:1.0            ,4eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT   
28  ,TE0803-01-04EG-1EA ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e_tebf0808:part0:2.0   ,4eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT   
29  ,TE0803-01-04CG-1EB ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0803_4cg_1e:part0:1.0            ,4cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu01g-qspi-x8-dual_parallel    ,REV01      ,2GB      ,256MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT   
30  ,TE0803-01-04CG-1EB ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0803_4cg_1e_tebf0808:part0:2.0   ,4cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu01g-qspi-x8-dual_parallel    ,REV01      ,2GB      ,256MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT   
31  ,TE0803-01-05EV-1EA ,xczu5ev-sfvc784-1-e        ,trenz.biz:te0803_5ev_1e:part0:1.0            ,5ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT   
32  ,TE0803-01-05EV-1EA ,xczu5ev-sfvc784-1-e        ,trenz.biz:te0803_5ev_1e_tebf0808:part0:2.0   ,5ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT   
33  ,TE0803-01-05EV-1IA ,xczu5ev-sfvc784-1-i        ,trenz.biz:te0803_5ev_1i:part0:1.0            ,5ev_i_2gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT   
34  ,TE0803-01-05EV-1IA ,xczu5ev-sfvc784-1-i        ,trenz.biz:te0803_5ev_1i_tebf0808:part0:2.0   ,5ev_i_2gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV01      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT   
35  ,TE0803-02-04EV-1E3 ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e:part0:3.0            ,4ev_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_TB|MGT   
36  ,TE0803-02-04EV-1E3 ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e_tebf0808:part0:4.0   ,4ev_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_SK|MGT
37  ,TE0803-02-04EG-1E3 ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e:part0:3.0            ,4eg_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_TB|MGT   
38  ,TE0803-02-04EG-1E3 ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e_tebf0808:part0:4.0   ,4eg_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV02      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_SK|MGT   
39  ,TE0803-03-2AE11-A  ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e:part0:1.0            ,2cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB       
40  ,TE0803-03-2AE11-A  ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e_tebf0808:part0:2.0   ,2cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK       
41  ,TE0803-03-2BE11-A  ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e:part0:1.0            ,2eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB                               
42  ,TE0803-03-2BE11-A  ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e_tebf0808:part0:2.0   ,2eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK                               
43  ,TE0803-03-3AE11-A  ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e:part0:1.0            ,3cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB                        
44  ,TE0803-03-3AE11-A  ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e_tebf0808:part0:2.0   ,3cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK                        
45  ,TE0803-03-3BE11-A  ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e:part0:1.0            ,3eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB
46  ,TE0803-03-3BE11-A  ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e_tebf0808:part0:2.0   ,3eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK
47  ,TE0803-03-4AE11-A  ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0803_4cg_1e:part0:1.0            ,4cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
48  ,TE0803-03-4AE11-A  ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0803_4cg_1e_tebf0808:part0:2.0   ,4cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
49  ,TE0803-03-4BE11-A  ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e:part0:1.0            ,4eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
50  ,TE0803-03-4BE11-A  ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e_tebf0808:part0:2.0   ,4eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
51  ,TE0803-03-4BE21-L  ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e:part0:3.0            ,4eg_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_TB|MGT
52  ,TE0803-03-4BE21-L  ,xczu4eg-sfvc784-1-e        ,trenz.biz:te0803_4eg_1e_tebf0808:part0:4.0   ,4eg_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_SK|MGT
53  ,TE0803-03-4BI21-A  ,xczu4eg-sfvc784-1-i        ,trenz.biz:te0803_4eg_1i:part0:3.0            ,4eg_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
54  ,TE0803-03-4BI21-A  ,xczu4eg-sfvc784-1-i        ,trenz.biz:te0803_4eg_1i_tebf0808:part0:4.0   ,4eg_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
55  ,TE0803-03-4DE11-A  ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e:part0:1.0            ,4ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
56  ,TE0803-03-4DE11-A  ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e_tebf0808:part0:2.0   ,4ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
57  ,TE0803-03-4DE21-L  ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e:part0:3.0            ,4ev_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_TB|MGT
58  ,TE0803-03-4DE21-L  ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0803_4ev_1e_tebf0808:part0:4.0   ,4ev_4gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_SK|MGT
59  ,TE0803-03-4GE21-L  ,xczu4eg-sfvc784-2-e        ,trenz.biz:te0803_4eg_2e:part0:3.0            ,4eg_2_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_TB|MGT
60  ,TE0803-03-4GE21-L  ,xczu4eg-sfvc784-2-e        ,trenz.biz:te0803_4eg_2e_tebf0808:part0:4.0   ,4eg_2_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_SK|MGT
61  ,TE0803-03-5DE11-A  ,xczu5ev-sfvc784-1-e        ,trenz.biz:te0803_5ev_1e:part0:1.0            ,5ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
62  ,TE0803-03-5DE11-A  ,xczu5ev-sfvc784-1-e        ,trenz.biz:te0803_5ev_1e_tebf0808:part0:2.0   ,5ev_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
63  ,TE0803-03-5DI21-A  ,xczu5ev-sfvc784-1-i        ,trenz.biz:te0803_5ev_1i:part0:3.0            ,5ev_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
64  ,TE0803-03-5DI21-A  ,xczu5ev-sfvc784-1-i        ,trenz.biz:te0803_5ev_1i_tebf0808:part0:4.0   ,5ev_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
65  ,TE0803-03-3RI21-A  ,xczu3eg-sfvc784-1L-i       ,trenz.biz:te0803_3eg_1li:part0:3.0           ,3eg_li_4gb ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB       
66  ,TE0803-03-3RI21-A  ,xczu3eg-sfvc784-1L-i       ,trenz.biz:te0803_3eg_1li_tebf0808:part0:4.0  ,3eg_li_4gb ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK       
67  ,TE0803-03-3BI21-A  ,xczu3eg-sfvc784-1-i        ,trenz.biz:te0803_3eg_1i:part0:3.0            ,3eg_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB
68  ,TE0803-03-3BI21-A  ,xczu3eg-sfvc784-1-i        ,trenz.biz:te0803_3eg_1i_tebf0808:part0:4.0   ,3eg_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK
69  ,TE0803-03-4DI21-L  ,xczu4ev-sfvc784-1-i        ,trenz.biz:te0803_4ev_1i:part0:3.0            ,4ev_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_TB|MGT
70  ,TE0803-03-4DI21-L  ,xczu4ev-sfvc784-1-i        ,trenz.biz:te0803_4ev_1i_tebf0808:part0:4.0   ,4ev_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,"1 mm connectors",NA                                             ,TE0803_SK|MGT
71  ,TE0803-03-4GI11-A  ,xczu4eg-sfvc784-2-i        ,trenz.biz:te0803_4eg_2i:part0:1.0            ,4eg_2i_2gb ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
72  ,TE0803-03-4GI11-A  ,xczu4eg-sfvc784-2-i        ,trenz.biz:te0803_4eg_2i_tebf0808:part0:2.0   ,4eg_2i_2gb ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
73  ,TE0803-03-4GE11-A  ,xczu4eg-sfvc784-2-e        ,trenz.biz:te0803_4eg_2e:part0:1.0            ,4eg_2_2gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
74  ,TE0803-03-4GE11-A  ,xczu4eg-sfvc784-2-e        ,trenz.biz:te0803_4eg_2e_tebf0808:part0:2.0   ,4eg_2_2gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
75  ,TE0803-03-4GI21-A  ,xczu4eg-sfvc784-2-i        ,trenz.biz:te0803_4eg_2i:part0:3.0            ,4eg_2i_4gb ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
76  ,TE0803-03-4GI21-A  ,xczu4eg-sfvc784-2-i        ,trenz.biz:te0803_4eg_2i_tebf0808:part0:4.0   ,4eg_2i_4gb ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
77  ,TE0803-03-5BE11-A  ,xczu5eg-sfvc784-1-e        ,trenz.biz:te0803_5eg_1e:part0:1.0            ,5eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
78  ,TE0803-03-5BE11-A  ,xczu5eg-sfvc784-1-e        ,trenz.biz:te0803_5eg_1e_tebf0808:part0:2.0   ,5eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,2GB      ,128MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
79  ,TE0803-03-5DI24-A  ,xczu5ev-sfvc784-1-i        ,trenz.biz:te0803_5ev_1i:part0:3.0            ,5ev_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu02g-qspi-x8-dual_parallel    ,REV03      ,4GB      ,512MB      ,NA         ,NA               ,NA                                             ,TE0803_TB|MGT
80  ,TE0803-03-5DI24-A  ,xczu5ev-sfvc784-1-i        ,trenz.biz:te0803_5ev_1i_tebf0808:part0:4.0   ,5ev_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu02g-qspi-x8-dual_parallel    ,REV03      ,4GB      ,512MB      ,NA         ,NA               ,NA                                             ,TE0803_SK|MGT
81  ,TE0803-03-4BI21-X  ,xczu4eg-sfvc784-1-i        ,trenz.biz:te0803_4eg_1i:part0:3.0            ,4eg_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,"U41 replaced with diode"                      ,TE0803_TB|MGT
82  ,TE0803-03-4BI21-X  ,xczu4eg-sfvc784-1-i        ,trenz.biz:te0803_4eg_1i_tebf0808:part0:4.0   ,4eg_i_4gb  ,qspi-x8-dual_parallel    ,mt25qu512-qspi-x8-dual_parallel    ,REV03      ,4GB      ,128MB      ,NA         ,NA               ,"U41 replaced with diode"                      ,TE0803_SK|MGT
